Latitude,Longitude,Survey,Year,Community,Province,Result,traps
48.32715,-123.63959,Gypsy Moth,2017,SOOKE,BRITISH COLUMBIA,Not Detected,0
48.33898,-123.56092,Gypsy Moth,2017,METCHOSIN,BRITISH COLUMBIA,Not Detected,0
48.34188,-123.66362,Gypsy Moth,2017,SOOKE,BRITISH COLUMBIA,Not Detected,0
48.34243,-123.54211,Gypsy Moth,2017,METCHOSIN,BRITISH COLUMBIA,Not Detected,0
48.34259,-123.596,Gypsy Moth,2017,METCHOSIN,BRITISH COLUMBIA,Not Detected,0
48.34614,-123.65704,Gypsy Moth,2017,SOOKE,BRITISH COLUMBIA,Not Detected,0
48.34645,-123.70789,Gypsy Moth,2017,SOOKE,BRITISH COLUMBIA,Not Detected,0
48.3466,-123.57365,Gypsy Moth,2017,METCHOSIN,BRITISH COLUMBIA,Not Detected,0
48.34749,-123.62766,Gypsy Moth,2017,METCHOSIN,BRITISH COLUMBIA,Not Detected,0
48.35535,-123.62601,Gypsy Moth,2017,METCHOSIN,BRITISH COLUMBIA,Not Detected,0
48.35689,-123.72668,Gypsy Moth,2017,SOOKE,BRITISH COLUMBIA,Not Detected,0
48.35752,-123.55836,Gypsy Moth,2017,METCHOSIN,BRITISH COLUMBIA,Not Detected,0
48.3581,-123.58355,Gypsy Moth,2017,METCHOSIN,BRITISH COLUMBIA,Not Detected,0
48.35846,-123.60686,Gypsy Moth,2017,METCHOSIN,BRITISH COLUMBIA,Not Detected,0
48.35876,-123.6499,Gypsy Moth,2017,SOOKE,BRITISH COLUMBIA,Not Detected,0
48.35881,-123.74324,Gypsy Moth,2017,SOOKE,BRITISH COLUMBIA,Not Detected,0
48.36163,-123.70203,Gypsy Moth,2017,SOOKE,BRITISH COLUMBIA,Not Detected,0
48.36215,-123.66307,Gypsy Moth,2017,SOOKE,BRITISH COLUMBIA,Not Detected,0
48.36369,-123.8137,Gypsy Moth,2017,SOOKE,BRITISH COLUMBIA,Not Detected,0
48.36491,-123.7139,Gypsy Moth,2017,SOOKE,BRITISH COLUMBIA,Not Detected,0
48.36503,-123.83014,Gypsy Moth,2017,CAPITAL REGIONAL DISTRICT,BRITISH COLUMBIA,Not Detected,0
48.3693,-123.78734,Gypsy Moth,2017,SOOKE,BRITISH COLUMBIA,Not Detected,0
48.37022,-123.68645,Gypsy Moth,2017,SOOKE,BRITISH COLUMBIA,Not Detected,0
48.37098,-123.63243,Gypsy Moth,2017,SOOKE,BRITISH COLUMBIA,Not Detected,0
48.37219,-123.55624,Gypsy Moth,2017,METCHOSIN,BRITISH COLUMBIA,Not Detected,0
48.3723,-123.7645,Gypsy Moth,2017,SOOKE,BRITISH COLUMBIA,Not Detected,0
48.37291,-123.7352,Gypsy Moth,2017,SOOKE,BRITISH COLUMBIA,Not Detected,0
48.37315,-123.58014,Gypsy Moth,2017,METCHOSIN,BRITISH COLUMBIA,Not Detected,0
48.37459,-123.53409,Gypsy Moth,2017,METCHOSIN,BRITISH COLUMBIA,Not Detected,0
48.37564,-123.60151,Gypsy Moth,2017,METCHOSIN,BRITISH COLUMBIA,Not Detected,0
48.37681,-123.61927,Gypsy Moth,2017,SOOKE,BRITISH COLUMBIA,Not Detected,0
48.37788,-123.75336,Gypsy Moth,2017,SOOKE,BRITISH COLUMBIA,Not Detected,0
48.37827,-123.80647,Gypsy Moth,2017,SOOKE,BRITISH COLUMBIA,Not Detected,0
48.38103,-123.71012,Gypsy Moth,2017,SOOKE,BRITISH COLUMBIA,Not Detected,0
48.3851,-123.72494,Gypsy Moth,2017,SOOKE,BRITISH COLUMBIA,Not Detected,0
48.38573,-123.63235,Gypsy Moth,2017,SOOKE,BRITISH COLUMBIA,Not Detected,0
48.38605,-123.79324,Gypsy Moth,2017,SOOKE,BRITISH COLUMBIA,Not Detected,0
48.38694,-123.49196,Gypsy Moth,2017,METCHOSIN,BRITISH COLUMBIA,Not Detected,0
48.38721,-123.63207,Gypsy Moth,2017,SOOKE,BRITISH COLUMBIA,Not Detected,0
48.38804,-123.51214,Gypsy Moth,2017,METCHOSIN,BRITISH COLUMBIA,Not Detected,0
48.38851,-123.57962,Gypsy Moth,2017,METCHOSIN,BRITISH COLUMBIA,Not Detected,0
48.38932,-123.70168,Gypsy Moth,2017,SOOKE,BRITISH COLUMBIA,Not Detected,0
48.38953,-123.67815,Gypsy Moth,2017,SOOKE,BRITISH COLUMBIA,Not Detected,0
48.39032,-123.53313,Gypsy Moth,2017,METCHOSIN,BRITISH COLUMBIA,Not Detected,0
48.39068,-123.65137,Gypsy Moth,2017,SOOKE,BRITISH COLUMBIA,Not Detected,0
48.39091,-123.87499,Gypsy Moth,2017,CAPITAL REGIONAL DISTRICT,BRITISH COLUMBIA,Not Detected,0
48.39137,-123.59937,Gypsy Moth,2017,METCHOSIN,BRITISH COLUMBIA,Not Detected,0
48.39222,-123.55392,Gypsy Moth,2017,METCHOSIN,BRITISH COLUMBIA,Not Detected,0
48.39265,-123.74854,Gypsy Moth,2017,SOOKE,BRITISH COLUMBIA,Not Detected,0
48.39471,-123.93553,Gypsy Moth,2017,CAPITAL REGIONAL DISTRICT,BRITISH COLUMBIA,TEST,0
48.39567,-123.76688,Gypsy Moth,2017,SOOKE,BRITISH COLUMBIA,TEST,0
48.39704,-123.62064,Gypsy Moth,2017,SOOKE,BRITISH COLUMBIA,TEST,0
48.3977,-123.66553,Gypsy Moth,2017,SOOKE,BRITISH COLUMBIA,TEST,0
48.39858,-123.71753,Gypsy Moth,2017,SOOKE,BRITISH COLUMBIA,TEST,0
48.40226,-123.55676,Gypsy Moth,2017,METCHOSIN,BRITISH COLUMBIA,Not Detected,0
48.4024,-123.98733,Gypsy Moth,2017,CAPITAL REGIONAL DISTRICT,BRITISH COLUMBIA,Not Detected,0
48.40242,-123.69589,Gypsy Moth,2017,SOOKE,BRITISH COLUMBIA,Not Detected,0
48.40322,-123.7846,Gypsy Moth,2017,SOOKE,BRITISH COLUMBIA,Not Detected,0
48.40591,-123.50954,Gypsy Moth,2017,COLWOOD,BRITISH COLUMBIA,Not Detected,0
48.40688,-123.76151,Gypsy Moth,2017,SOOKE,BRITISH COLUMBIA,Not Detected,0
48.40696,-123.57842,Gypsy Moth,2017,METCHOSIN,BRITISH COLUMBIA,Not Detected,0
